path_key,source_project,chainage_m,x_svy21,y_svy21,elevation_m_raw,elevation_m_filtered,elevation_m_smooth,gradient_pct,Grade,nearest_road_name,nearest_road_dist_m
nim_drive,Nim Drive,66.0,31555.005,40669.872,17.812,17.812,17.812,,,NIM DRIVE,1.862
nim_drive,Nim Drive,68.0,31557.001,40669.744,21.39,17.683,17.683,,,NIM DRIVE,2.091
nim_drive,Nim Drive,70.0,31558.979,40669.448,18.898,17.555,17.555,-6.426,1.0,NIM DRIVE,2.151
nim_drive,Nim Drive,72.0,31560.957,40669.152,18.798,17.426,17.426,,,NIM DRIVE,2.212
nim_drive,Nim Drive,74.0,31562.935,40668.856,17.298,17.298,17.298,,,NIM DRIVE,2.273
nim_drive,Nim Drive,76.0,31564.912,40668.559,18.589,17.07,17.07,,,NIM DRIVE,2.334
nim_drive,Nim Drive,78.0,31566.89,40668.263,16.639,16.842,16.842,-9.271,2.0,NIM DRIVE,2.394
nim_drive,Nim Drive,80.0,31568.862,40667.933,16.614,16.614,16.614,,,NIM DRIVE,2.421
nim_drive,Nim Drive,82.0,31570.812,40667.49,16.556,16.556,16.556,,,NIM DRIVE,2.332
nim_drive,Nim Drive,84.0,31572.762,40667.046,16.556,16.556,16.556,-1.25,1.0,NIM DRIVE,2.243
nim_drive,Nim Drive,86.0,31574.713,40666.603,16.498,16.498,16.514,-0.729,1.0,NIM DRIVE,2.154
nim_drive,Nim Drive,88.0,31576.661,40666.151,16.514,16.514,16.514,-0.521,1.0,NIM DRIVE,2.056
nim_drive,Nim Drive,90.0,31578.568,40665.549,16.514,16.514,16.498,0.0,1.0,NIM DRIVE,1.803
nim_drive,Nim Drive,92.0,31580.475,40664.947,16.498,16.498,16.514,,,NIM DRIVE,1.55
nim_drive,Nim Drive,94.0,31582.382,40664.344,16.498,16.498,16.514,,,NIM DRIVE,1.297
nim_drive,Nim Drive,96.0,31584.289,40663.742,16.456,16.786,16.786,,,NIM DRIVE,1.044
nim_drive,Nim Drive,98.0,31586.196,40663.139,18.656,17.075,16.786,,,NIM DRIVE,0.791
nim_drive,Nim Drive,100.0,31588.103,40662.537,18.348,16.925,16.786,,,NIM DRIVE,0.537
nim_drive,Nim Drive,102.0,31590.065,40662.157,18.314,16.774,16.774,,,NIM DRIVE,0.513
nim_drive,Nim Drive,104.0,31592.034,40661.806,18.314,16.623,16.623,,,NIM DRIVE,0.518
nim_drive,Nim Drive,106.0,31594.003,40661.455,16.346,16.472,16.472,,,NIM DRIVE,0.524
nim_drive,Nim Drive,108.0,31595.972,40661.105,16.322,16.322,16.322,,,NIM DRIVE,0.53
nim_drive,Nim Drive,110.0,31597.964,40660.957,16.246,16.246,16.246,,,NIM DRIVE,0.739
nim_drive,Nim Drive,112.0,31599.962,40660.86,16.196,16.196,16.196,-2.813,1.0,NIM DRIVE,0.999
nim_drive,Nim Drive,114.0,31601.959,40660.763,16.146,16.146,16.146,-2.5,1.0,NIM DRIVE,1.259
nim_drive,Nim Drive,116.0,31603.957,40660.666,16.096,16.096,16.096,-1.875,1.0,NIM DRIVE,1.52
nim_drive,Nim Drive,118.0,31605.955,40660.568,16.047,16.047,16.047,-2.188,1.0,NIM DRIVE,1.78
nim_drive,Nim Drive,120.0,31607.947,40660.417,16.047,16.047,16.047,-2.187,1.0,NIM DRIVE,1.986
nim_drive,Nim Drive,122.0,31609.925,40660.12,15.971,15.971,15.971,-1.875,1.0,NIM DRIVE,2.045
nim_drive,Nim Drive,124.0,31611.902,40659.822,15.922,15.922,15.922,-1.875,1.0,NIM DRIVE,2.104
nim_drive,Nim Drive,126.0,31613.88,40659.524,15.896,15.896,15.896,-1.25,1.0,NIM DRIVE,2.164
nim_drive,Nim Drive,128.0,31615.858,40659.227,15.896,15.896,15.896,-1.562,1.0,NIM DRIVE,2.223
nim_drive,Nim Drive,130.0,31617.799,40658.753,15.872,15.872,15.872,-1.875,1.0,NIM DRIVE,2.103
nim_drive,Nim Drive,132.0,31619.729,40658.231,15.796,15.796,15.796,-2.5,1.0,NIM DRIVE,1.933
nim_drive,Nim Drive,134.0,31621.66,40657.708,15.746,15.746,15.746,-2.188,1.0,NIM DRIVE,1.762
nim_drive,Nim Drive,136.0,31623.59,40657.185,15.696,15.696,15.696,-1.875,1.0,NIM DRIVE,1.591
nim_drive,Nim Drive,138.0,31625.521,40656.662,15.696,15.696,15.696,-1.875,1.0,NIM DRIVE,1.421
nim_drive,Nim Drive,140.0,31627.444,40656.118,15.646,15.646,15.646,-2.453,1.0,NIM DRIVE,1.227
nim_drive,Nim Drive,142.0,31629.335,40655.465,15.596,15.596,15.596,-2.661,1.0,NIM DRIVE,0.922
nim_drive,Nim Drive,144.0,31631.226,40654.813,15.5,15.5,15.5,-2.036,1.0,NIM DRIVE,0.617
nim_drive,Nim Drive,146.0,31633.116,40654.161,15.484,15.484,15.484,-1.828,1.0,NIM DRIVE,0.312
nim_drive,Nim Drive,148.0,31635.007,40653.508,15.484,15.484,15.484,-1.25,1.0,NIM DRIVE,0.006
nim_drive,Nim Drive,150.0,31636.954,40653.077,15.45,15.45,15.45,-1.667,1.0,NIM DRIVE,0.071
nim_drive,Nim Drive,152.0,31638.927,40652.749,15.4,15.4,15.4,-2.292,1.0,NIM DRIVE,0.042
nim_drive,Nim Drive,154.0,31640.9,40652.422,15.35,15.35,15.35,-1.875,1.0,NIM DRIVE,0.013
nim_drive,Nim Drive,156.0,31642.872,40652.094,15.3,15.3,15.3,-1.25,1.0,NIM DRIVE,0.015
nim_drive,Nim Drive,158.0,31644.847,40651.778,15.25,15.25,15.3,-1.042,1.0,NIM DRIVE,0.057
nim_drive,Nim Drive,160.0,31646.841,40651.619,15.234,15.234,15.3,-0.417,1.0,NIM DRIVE,0.255
nim_drive,Nim Drive,162.0,31648.834,40651.459,15.334,15.334,15.267,-0.417,1.0,NIM DRIVE,0.453
nim_drive,Nim Drive,164.0,31650.828,40651.299,15.3,15.3,15.267,-1.771,1.0,NIM DRIVE,0.651
nim_drive,Nim Drive,166.0,31652.821,40651.14,15.267,15.267,15.267,-2.708,1.0,NIM DRIVE,0.849
nim_drive,Nim Drive,168.0,31654.814,40650.97,15.159,15.159,15.159,-3.333,1.0,NIM DRIVE,1.036
nim_drive,Nim Drive,170.0,31656.802,40650.754,15.05,15.05,15.05,,,NIM DRIVE,1.178
nim_drive,Nim Drive,172.0,31658.791,40650.539,15.0,15.0,15.0,,,NIM DRIVE,1.321
nim_drive,Nim Drive,174.0,31660.779,40650.324,16.25,14.95,14.95,-2.5,1.0,NIM DRIVE,1.463
nim_drive,Nim Drive,176.0,31662.768,40650.109,14.9,14.9,14.9,-2.5,1.0,NIM DRIVE,1.605
nim_drive,Nim Drive,178.0,31664.756,40649.893,14.85,14.85,14.85,,,NIM DRIVE,1.748
nim_drive,Nim Drive,180.0,31666.744,40649.678,14.8,14.8,14.8,,,NIM DRIVE,1.89
nim_drive,Nim Drive,182.0,31668.724,40649.396,14.8,14.8,14.8,-1.562,1.0,NIM DRIVE,1.965
nim_drive,Nim Drive,184.0,31670.702,40649.102,14.75,14.75,14.75,-1.875,1.0,NIM DRIVE,2.028
nim_drive,Nim Drive,186.0,31672.681,40648.807,14.725,14.725,14.725,-2.812,1.0,NIM DRIVE,2.09
nim_drive,Nim Drive,188.0,31674.659,40648.513,14.65,14.65,14.65,-2.5,1.0,NIM DRIVE,2.153
nim_drive,Nim Drive,190.0,31676.625,40648.146,14.575,14.575,14.575,,,NIM DRIVE,2.142
nim_drive,Nim Drive,192.0,31678.59,40647.773,14.55,14.55,14.55,,,NIM DRIVE,2.125
nim_drive,Nim Drive,194.0,31680.555,40647.4,15.556,14.48,14.48,-2.946,1.0,NIM DRIVE,2.108
nim_drive,Nim Drive,196.0,31682.519,40647.027,14.373,14.41,14.41,-3.05,1.0,NIM DRIVE,2.091
nim_drive,Nim Drive,198.0,31684.484,40646.654,14.34,14.34,14.34,,,NIM DRIVE,2.074
nim_drive,Nim Drive,200.0,31686.443,40646.25,14.306,14.306,14.306,,,NIM DRIVE,2.025
nim_drive,Nim Drive,202.0,31688.396,40645.818,14.281,14.281,14.281,-2.083,1.0,NIM DRIVE,1.948
nim_drive,Nim Drive,204.0,31690.349,40645.386,14.256,14.256,14.256,-2.5,1.0,NIM DRIVE,1.871
nim_drive,Nim Drive,206.0,31692.301,40644.955,14.173,14.173,14.173,-2.396,1.0,NIM DRIVE,1.794
nim_drive,Nim Drive,208.0,31694.254,40644.523,14.106,14.106,14.106,-2.5,1.0,NIM DRIVE,1.717
nim_drive,Nim Drive,210.0,31696.204,40644.08,14.09,14.09,14.09,-1.875,1.0,NIM DRIVE,1.628
nim_drive,Nim Drive,212.0,31698.136,40643.562,14.056,14.056,14.056,-1.25,1.0,NIM DRIVE,1.463
nim_drive,Nim Drive,214.0,31700.068,40643.045,14.023,14.023,14.023,-1.875,1.0,NIM DRIVE,1.298
nim_drive,Nim Drive,216.0,31702.0,40642.528,14.006,14.006,14.006,-1.458,1.0,NIM DRIVE,1.134
nim_drive,Nim Drive,218.0,31703.933,40642.015,13.94,13.94,13.94,-1.354,1.0,NIM DRIVE,0.973
nim_drive,Nim Drive,220.0,31705.87,40641.517,13.915,13.915,13.94,-1.146,1.0,NIM DRIVE,0.828
nim_drive,Nim Drive,222.0,31707.807,40641.018,13.898,13.898,13.915,0.0,1.0,NIM DRIVE,0.682
nim_drive,Nim Drive,224.0,31709.744,40640.52,13.94,13.94,13.915,,,NIM DRIVE,0.536
nim_drive,Nim Drive,226.0,31711.681,40640.022,13.89,13.89,13.94,,,NIM DRIVE,0.391
nim_drive,Nim Drive,228.0,31713.618,40639.523,13.79,14.067,14.067,,,NIM DRIVE,0.245
nim_drive,Nim Drive,230.0,31715.595,40639.219,13.756,14.244,14.103,,,NIM DRIVE,0.299
nim_drive,Nim Drive,232.0,31717.571,40638.917,13.723,14.173,14.103,,,NIM DRIVE,0.353
nim_drive,Nim Drive,234.0,31719.548,40638.614,16.401,14.103,14.103,,,NIM DRIVE,0.407
nim_drive,Nim Drive,236.0,31721.525,40638.311,16.371,14.033,14.033,,,NIM DRIVE,0.461
nim_drive,Nim Drive,238.0,31723.502,40638.009,16.166,13.962,13.962,,,NIM DRIVE,0.516
nim_drive,Nim Drive,240.0,31725.483,40637.736,15.981,13.892,13.892,,,NIM DRIVE,0.6
nim_drive,Nim Drive,242.0,31727.474,40637.547,16.051,13.821,13.821,,,NIM DRIVE,0.769
nim_drive,Nim Drive,244.0,31729.465,40637.359,14.964,13.751,13.751,,,NIM DRIVE,0.939
nim_drive,Nim Drive,246.0,31731.456,40637.171,13.54,13.68,13.68,,,NIM DRIVE,1.108
nim_drive,Nim Drive,248.0,31733.447,40636.983,13.54,13.61,13.61,,,NIM DRIVE,1.277
nim_drive,Nim Drive,250.0,31735.433,40636.742,13.54,13.54,13.54,,,NIM DRIVE,1.394
nim_drive,Nim Drive,252.0,31737.418,40636.5,13.523,13.523,13.523,,,NIM DRIVE,1.51
nim_drive,Nim Drive,254.0,31739.404,40636.259,13.498,13.498,13.498,-1.042,1.0,NIM DRIVE,1.626
nim_drive,Nim Drive,256.0,31741.389,40636.018,13.456,13.456,13.456,-0.833,1.0,NIM DRIVE,1.742
nim_drive,Nim Drive,258.0,31743.374,40635.776,13.456,13.456,13.456,-0.443,1.0,NIM DRIVE,1.858
nim_drive,Nim Drive,260.0,31745.351,40635.477,13.456,13.456,13.456,0.546,1.0,NIM DRIVE,1.916
nim_drive,Nim Drive,262.0,31747.321,40635.131,13.462,13.462,13.462,0.859,1.0,NIM DRIVE,1.926
nim_drive,Nim Drive,264.0,31749.291,40634.785,13.5,13.5,13.5,0.859,1.0,NIM DRIVE,1.936
nim_drive,Nim Drive,266.0,31751.261,40634.439,13.537,13.537,13.525,0.781,1.0,NIM DRIVE,1.947
nim_drive,Nim Drive,268.0,31753.231,40634.093,13.537,13.537,13.525,0.312,1.0,NIM DRIVE,1.957
nim_drive,Nim Drive,270.0,31755.206,40633.78,13.525,13.525,13.525,0.0,1.0,NIM DRIVE,2.001
nim_drive,Nim Drive,272.0,31757.188,40633.515,13.525,13.525,13.525,0.0,1.0,NIM DRIVE,2.093
nim_drive,Nim Drive,274.0,31759.17,40633.249,13.512,13.512,13.525,0.312,1.0,NIM DRIVE,2.184
nim_drive,Nim Drive,276.0,31761.152,40632.983,13.525,13.525,13.525,1.094,1.0,NIM DRIVE,2.276
nim_drive,Nim Drive,278.0,31763.135,40632.717,13.55,13.55,13.55,2.656,1.0,NIM DRIVE,2.367
nim_drive,Nim Drive,280.0,31765.127,40632.751,13.612,13.612,13.612,2.813,1.0,NIM DRIVE,2.755
nim_drive,Nim Drive,282.0,31767.123,40632.879,13.737,13.737,13.737,3.75,1.0,NIM DRIVE,3.237
nim_drive,Nim Drive,284.0,31769.119,40633.007,13.75,13.75,13.75,4.375,1.0,NIM DRIVE,3.719
nim_drive,Nim Drive,286.0,31771.115,40633.136,13.85,13.85,13.85,5.0,1.0,NIM DRIVE,4.201
nim_drive,Nim Drive,288.0,31773.11,40633.237,14.262,13.994,13.994,7.578,1.0,NIM DRIVE,4.656
nim_drive,Nim Drive,290.0,31775.092,40632.967,14.137,14.137,14.137,8.516,1.0,NIM DRIVE,4.743
nim_drive,Nim Drive,292.0,31777.073,40632.697,14.356,14.356,14.356,,,NIM DRIVE,4.831
nim_drive,Nim Drive,294.0,31779.055,40632.427,14.531,14.531,14.531,,,NIM DRIVE,4.918
nim_drive,Nim Drive,296.0,31781.037,40632.157,14.662,14.662,14.662,,,NIM DRIVE,5.006
nim_drive,Nim Drive,298.0,31783.017,40631.882,14.7,14.883,14.883,9.922,2.0,NIM DRIVE,5.088
nim_drive,Nim Drive,300.0,31784.966,40631.433,14.531,15.104,15.104,,,NIM DRIVE,4.994
nim_drive,Nim Drive,302.0,31786.915,40630.985,15.325,15.325,15.325,,,NIM DRIVE,4.899
nim_drive,Nim Drive,304.0,31788.864,40630.536,15.725,15.4,15.4,,,NIM DRIVE,4.805
nim_drive,Nim Drive,306.0,31790.813,40630.087,15.237,15.475,15.475,3.75,1.0,NIM DRIVE,4.71
nim_drive,Nim Drive,308.0,31792.762,40629.638,15.631,15.55,15.55,,,NIM DRIVE,4.616
nim_drive,Nim Drive,310.0,31794.719,40629.224,15.625,15.625,15.625,,,NIM DRIVE,4.557
nim_drive,Nim Drive,312.0,31796.682,40628.843,15.794,15.794,15.669,,,NIM DRIVE,4.532
nim_drive,Nim Drive,314.0,31798.646,40628.463,15.669,15.669,15.794,,,NIM DRIVE,4.508
nim_drive,Nim Drive,316.0,31800.609,40628.083,16.875,15.83,15.83,,,NIM DRIVE,4.483
nim_drive,Nim Drive,318.0,31802.573,40627.705,15.875,15.991,15.991,6.016,1.0,NIM DRIVE,4.461
nim_drive,Nim Drive,320.0,31804.551,40627.408,16.262,16.152,16.152,,,NIM DRIVE,4.522
nim_drive,Nim Drive,322.0,31806.529,40627.111,16.312,16.312,16.275,,,NIM DRIVE,4.582
nim_drive,Nim Drive,324.0,31808.507,40626.814,16.275,16.275,16.312,,,NIM DRIVE,4.643
nim_drive,Nim Drive,326.0,31810.484,40626.518,16.475,16.526,16.526,,,NIM DRIVE,4.703
nim_drive,Nim Drive,328.0,31812.462,40626.221,17.203,16.777,16.777,,,NIM DRIVE,4.763
nim_drive,Nim Drive,330.0,31814.343,40625.589,16.893,17.074,17.074,,,NIM DRIVE,4.477
nim_drive,Nim Drive,332.0,31816.171,40624.779,16.983,17.37,17.37,,,NIM DRIVE,4.006
nim_drive,Nim Drive,334.0,31818.0,40623.969,17.683,17.667,17.667,,,NIM DRIVE,3.535
nim_drive,Nim Drive,336.0,31819.829,40623.159,17.963,17.963,17.667,,,NIM DRIVE,3.064
nim_drive,Nim Drive,338.0,31820.46,40622.693,17.933,17.933,17.667,,,NIM DRIVE,2.717
nim_drive,Nim Drive,340.0,31818.48,40622.974,17.028,17.661,17.661,,,NIM DRIVE,2.641
